code,term,term_clean,semantic_tag
2620004,Intervertebral disc structure of third thoracic vertebra (body structure),Intervertebral disc structure of third thoracic vertebra,body structure
2622007,Infected ulcer of skin (disorder),Infected ulcer of skin,disorder
2651006,Closed traumatic dislocation of elbow joint (disorder),Closed traumatic dislocation of elbow joint,disorder
2667000,Absent (qualifier value),Absent,qualifier value
2688009,Tristan da Cunhans (ethnic group),Tristan da Cunhans,ethnic group
2705002,Arsenic-72 (substance),Arsenic-72,substance
2720008,Hututu (ethnic group),Hututu,ethnic group
2733002,Heel pain (finding),Heel pain,finding
2739003,Endometrial structure (body structure),Endometrial structure,body structure
2748008,Spinal cord structure (body structure),Spinal cord structure,body structure
2776000,Delirium (disorder),Delirium,disorder
2785000,Genus Enterococcus (organism),Genus Enterococcus,organism
2799001,Methylbenzethonium chloride (substance),Methylbenzethonium chloride,substance
2812003,Structure of head of femur (body structure),Structure of head of femur,body structure
2815001,Sexual pyromania (disorder),Sexual pyromania,disorder
2841007,Structure of renal artery (body structure),Structure of renal artery,body structure
2852001,Bhutanese (ethnic group),Bhutanese,ethnic group
2858002,Puerperal sepsis (disorder),Puerperal sepsis,disorder
2861001,Entire gland (organ) (body structure),Entire gland (organ),body structure
2864009,Rotavirus group E (organism),Rotavirus group E,organism
2869004,Acetic acid (substance),Acetic acid,substance
2897005,Immune thrombocytopenia (disorder),Immune thrombocytopenia,disorder
2901004,Melena (disorder),Melena,disorder
2904007,Male infertility (disorder),Male infertility,disorder
2910007,Discharge from penis (finding),Discharge from penis,finding
2929001,Occlusion of artery (disorder),Occlusion of artery,disorder
2942001,Carbon (14-C) xylose (substance),Carbon (14-C) xylose,substance
2985005,"Paget's disease, mammary (morphologic abnormality)","Paget's disease, mammary",morphologic abnormality
2999009,Injury of ear (disorder),Injury of ear,disorder
3006004,Disturbance of consciousness (finding),Disturbance of consciousness,finding
3027009,Barium-133 (substance),Barium-133,substance
3040004,Technetium (99m-Tc) disofenin (substance),Technetium (99m-Tc) disofenin,substance
3058005,Peripheral nervous system structure (body structure),Peripheral nervous system structure,body structure
3092008,Staphylococcus aureus (organism),Staphylococcus aureus,organism
3110003,Acute otitis media (disorder),Acute otitis media,disorder
3120008,Pleural membrane structure (body structure),Pleural membrane structure,body structure
3128001,Legionella israelensis (organism),Legionella israelensis,organism
